C:\Users\mural\projects\self-driving-car-sim\IMG\center_2020_06_08_05_11_31_328.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\left_2020_06_08_05_11_31_328.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\right_2020_06_08_05_11_31_328.jpg,0,0,0,3.174487
C:\Users\mural\projects\self-driving-car-sim\IMG\center_2020_06_08_05_11_31_407.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\left_2020_06_08_05_11_31_407.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\right_2020_06_08_05_11_31_407.jpg,0,0,0,3.14898
C:\Users\mural\projects\self-driving-car-sim\IMG\center_2020_06_08_05_11_31_486.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\left_2020_06_08_05_11_31_486.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\right_2020_06_08_05_11_31_486.jpg,0,0,0,3.123677
C:\Users\mural\projects\self-driving-car-sim\IMG\center_2020_06_08_05_11_31_564.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\left_2020_06_08_05_11_31_564.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\right_2020_06_08_05_11_31_564.jpg,0,0,0,3.098577
C:\Users\mural\projects\self-driving-car-sim\IMG\center_2020_06_08_05_11_31_641.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\left_2020_06_08_05_11_31_641.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\right_2020_06_08_05_11_31_641.jpg,0,0,0,3.079885
C:\Users\mural\projects\self-driving-car-sim\IMG\center_2020_06_08_05_11_31_721.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\left_2020_06_08_05_11_31_721.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\right_2020_06_08_05_11_31_721.jpg,0,0,0,3.055138
C:\Users\mural\projects\self-driving-car-sim\IMG\center_2020_06_08_05_11_31_798.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\left_2020_06_08_05_11_31_798.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\right_2020_06_08_05_11_31_798.jpg,0,0,0,3.030589
C:\Users\mural\projects\self-driving-car-sim\IMG\center_2020_06_08_05_11_31_875.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\left_2020_06_08_05_11_31_875.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\right_2020_06_08_05_11_31_875.jpg,0,0,0,3.006238
C:\Users\mural\projects\self-driving-car-sim\IMG\center_2020_06_08_05_11_31_955.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\left_2020_06_08_05_11_31_955.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\right_2020_06_08_05_11_31_955.jpg,0,0,0,2.982083
C:\Users\mural\projects\self-driving-car-sim\IMG\center_2020_06_08_05_11_32_034.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\left_2020_06_08_05_11_32_034.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\right_2020_06_08_05_11_32_034.jpg,0,0,0,2.958121
C:\Users\mural\projects\self-driving-car-sim\IMG\center_2020_06_08_05_11_32_112.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\left_2020_06_08_05_11_32_112.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\right_2020_06_08_05_11_32_112.jpg,0,0,0,2.934353
C:\Users\mural\projects\self-driving-car-sim\IMG\center_2020_06_08_05_11_32_190.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\left_2020_06_08_05_11_32_190.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\right_2020_06_08_05_11_32_190.jpg,0,0,0,2.910775
C:\Users\mural\projects\self-driving-car-sim\IMG\center_2020_06_08_05_11_32_268.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\left_2020_06_08_05_11_32_268.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\right_2020_06_08_05_11_32_268.jpg,0,0.2326953,0,3.035604
C:\Users\mural\projects\self-driving-car-sim\IMG\center_2020_06_08_05_11_32_346.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\left_2020_06_08_05_11_32_346.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\right_2020_06_08_05_11_32_346.jpg,-0.15,0.4657986,0,3.41305
C:\Users\mural\projects\self-driving-car-sim\IMG\center_2020_06_08_05_11_32_424.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\left_2020_06_08_05_11_32_424.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\right_2020_06_08_05_11_32_424.jpg,-0.35,0.6992943,0,3.987971
C:\Users\mural\projects\self-driving-car-sim\IMG\center_2020_06_08_05_11_32_503.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\left_2020_06_08_05_11_32_503.jpg,C:\Users\mural\projects\self-driving-car-sim\IMG\right_2020_06_08_05_11_32_503.jpg,-0.5000001,0.9353772,0,4.557014
